"uid","profit","round"
"220579",56500,5
"260258",-7100,7
"233320",-6250,1
"282813",-9950,9
"269914",-9570,5
"240531",-12500,2
"297103",-34750,11
"287218",-36250,6
"266881",-24000,7
"251376",-18750,3
"259527",-7500,4
"288947",-9100,7
"217684",-20500,4
"261919",43750,1
"253159",39000,11
"287835",-6250,2
"225773",-18000,3
"269195",55250,9
"286549",18500,5
"225182",214250,11
"265669",-32500,7
"225607",-33750,7
"297063",0,10
"238001",-1250,9
"211632",-8000,3
"231355",3500,1
"299293",-21500,7
"263069",-14750,5
"251949",-12500,2
"294466",28250,9
"263537",-9300,3
"207319",-18750,5
"224755",-9995,12
"251247",100250,7
"204766",50000,10
"260875",-1750,11
"266765",-30750,9
"286441",-750,6
"247161",66750,10
"207358",-14250,7
"252158",-250,5
"258313",-9525,9
"227333",-12750,4
"290798",-8750,2
"251862",-6250,1
"295391",5000,10
"219507",51750,4
"271491",-35750,9
"256891",-20000,4
"224660",-24250,7
"272546",5000,9
"251964",-32000,12
"231074",-26250,5
"231112",-73500,13
"228603",-32250,10
"250194",-3250,6
"277756",-9975,5
"299053",77500,12
"236300",-29250,11
"261257",-21250,4
"292509",-43250,9
"250835",-6250,1
"298874",-18750,4
"238892",-19500,4
"277761",-1500,7
"291306",-36750,10
"287414",-32500,7
"214815",-9625,5
"277442",-12500,2
"211097",-43000,9
"211840",29250,7
"276530",-6250,1
"214247",-12500,2
"208538",-31500,7
"291500",-53750,11
"232927",-2500,2
"298750",-18750,7
"238136",-11000,4
"293428",-31250,7
"278102",-49250,11
"285093",-9300,9
"274809",-10500,7
"246199",12750,11
"244950",-6250,1
"200970",-43750,7
"252112",-23750,4
"202394",-68250,12
"223459",12500,7
"278886",-63500,12
"216037",-16750,3
"263336",-33500,6
"227639",308250,2
"203783",-9705,7
"262374",30000,3
"265367",-4500,1
"277319",-35750,7
"253962",20000,11
"208912",-15750,3
"272628",-7750,6
"269593",13750,9
"230982",105000,6
"268359",-8450,3
"278891",-6250,1
"218555",12000,4
"294257",-23750,5
"223411",-13750,4
"209317",-29750,11
"264115",-48000,11
"277241",-9485,5
"211594",-17750,11
"227424",30500,9
"268219",71250,1
"236802",-3250,4
"285070",75750,4
"287650",-16500,9
"265792",-9725,9
"280114",-8625,9
"221670",-8380,11
"223560",750,1
"228196",-9550,8
"243819",-3000,3
"214103",77500,9
"297805",-20500,5
"260258",-8350,8
"233320",-12500,2
