"uid","pay","profit","round"
254595,6250,-20000,4
273124,6250,-6250,1
207379,1250,-5750,3
236136,6250,121250,5
282695,6250,20500,2
238778,6250,-26750,5
215863,6250,-29000,5
248567,6250,-6250,1
283195,6250,-5250,2
253732,6250,-31250,5
225077,125,-9625,3
287636,6250,-4500,4
254909,6250,89500,5
263411,6250,-18500,4
223733,6250,-31250,5
212778,6250,-6500,3
219800,6250,-7500,2
279649,6250,-5500,1
250327,1250,-8350,5
211685,6250,-8750,2
205648,625,-9375,4
281702,6250,-3750,2
287045,6250,-19250,4
245326,6250,-6250,1
274405,6250,-8750,4
233102,6250,-18750,3
204618,1250,4500,2
299426,6250,-6250,1
218502,6250,-25000,4
250815,1250,-8750,3
228620,6250,145000,4
285258,1250,-7500,2
244930,6250,-11250,5
250398,6250,-6250,1
236697,6250,-22750,4
247438,6250,24250,3
215008,6250,-22500,4
296697,6250,11250,3
202940,6250,-15750,3
224164,6250,-14250,3
234633,6250,8000,4
212414,6250,8750,1
215452,6250,3750,3
221078,6250,-30000,5
224337,6250,-7500,2
208955,6250,-6250,1
203362,125,-9900,6
249300,6250,-23500,4
296311,6250,-10000,2
296185,6250,-6250,1
228908,6250,-18750,4
238979,6250,103750,6
200598,6250,4000,2
254013,6250,-6250,1
220688,6250,-25000,4
297473,6250,-18750,3
228052,6250,-6250,1
232187,6250,15750,4
295368,6250,7000,5
288734,6250,-18750,3
299968,6250,-6250,1
273673,6250,107750,3
219839,1250,-6700,2
296186,6250,48500,4
234250,6250,-1750,1
260363,6250,114000,3
270260,6250,-23500,4
211039,6250,-33500,6
218762,6250,-34500,6
249453,6250,-18750,3
212063,6250,-18250,4
251324,6250,-6250,1
240031,45,-9995,7
202475,6250,-34000,7
237524,6250,51250,3
250164,6250,-18750,6
232238,6250,-25750,5
224253,6250,-17250,3
200573,1250,-5200,3
271661,6250,-6250,1
236098,6250,28250,5
262917,6250,-16500,3
276746,6250,-28000,6
204270,6250,-12500,2
288720,6250,2250,3
288512,6250,-4250,1
205317,125,-9500,5
223580,6250,-17500,3
254802,6250,43750,6
254935,6250,108000,5
237367,6250,0,2
264398,6250,-6250,1
284306,6250,-31250,5
256242,6250,-43750,7
253488,6250,-3000,6
295048,6250,-12500,2
297463,6250,-6250,1
239604,6250,-13500,5
233046,6250,83500,5
228409,6250,-23000,5
205107,6250,-11000,2
222017,6250,-8000,2
237560,6250,-6250,1
245231,6250,-25000,4
231149,6250,-18750,3
245454,6250,157500,4
245844,1250,-7250,2
240098,6250,-5500,1
279141,6250,16250,7
215872,6250,13250,3
290914,6250,1250,5
254595,6250,-19750,5
273124,6250,-11750,2
228241,6250,-15500,5
299178,6250,37750,5
270826,6250,-7500,3
216052,6250,-1750,1
236136,6250,127500,6
289862,6250,4250,3
248395,6250,-13750,3
238778,6250,-33000,6
215863,6250,-34000,6
248567,6250,-12500,2
253732,6250,-36000,6
225077,125,-9750,4
262797,6250,18750,7
206835,6250,-6250,1
254909,6250,83250,6
263411,6250,-22250,5
223733,6250,-37500,6
246276,6250,-3250,1
268516,6250,-13000,7
234893,6250,-13000,4
205648,125,-9500,5
245326,6250,-12500,2
274405,6250,-8750,5
215139,1250,-5750,5
229398,6250,-6250,1
233102,6250,-2000,4
299426,6250,-12500,2
218502,6250,-24750,5
252885,6250,0,1
250815,625,-9225,4
239440,6250,10000,3
287432,6250,14000,2
285258,1250,-6250,3
250398,1250,-7500,2
215008,6250,-28750,5
253610,6250,8750,1
235044,6250,-35000,7
277853,6250,-5750,3
202940,6250,-20500,4
265834,1250,-4700,4
297972,6250,63750,4
220568,6250,-1250,1
215452,6250,5000,4
271071,6250,-23500,5
221078,6250,-36250,6
208955,6250,-12500,2
229636,6250,-6250,1
203362,75,-9725,7
228622,6250,-18000,3
296311,6250,-16250,3
296185,6250,-11750,2
228908,6250,-25000,5
256441,6250,73250,6
270531,6250,-1750,1
213647,1250,-6250,2
200598,6250,-2250,3
228001,6250,1250,3
254013,6250,-12500,2
220688,6250,-31250,5
295457,6250,-6250,1
221290,6250,19500,6
205958,6250,-8750,3
297473,6250,-25000,4
245697,6250,-10000,2
228052,6250,-12500,2
246041,6250,-6250,1
288734,6250,-25000,4
290625,6250,-2500,2
299968,6250,-9500,2
214802,6250,-29000,5
207163,6250,25000,1
273673,6250,101500,4
236153,6250,27500,5
270029,6250,-17250,3
296186,6250,42250,5
270260,6250,-29750,5
291726,6250,-4750,1
205930,6250,109500,5
282695,6250,14250,3
213421,6250,53750,6
211039,6250,-39750,7
218762,6250,84250,7
249453,6250,-25000,4
212063,6250,-19500,5
283195,6250,-11500,3
251324,6250,-12500,2
293589,6250,16250,1
250164,6250,-25000,7
274356,6250,-6500,2
271466,6250,5000,2
204455,6250,-1000,2
271661,6250,-12500,2
266918,6250,-6250,1
262917,6250,-22750,4
276746,6250,-34250,7
204270,6250,106250,3
287045,6250,-25500,5
288720,6250,-4000,4
205317,125,-9625,6
251168,6250,-6250,1
223580,6250,-23750,4
270177,125,-9515,6
237367,6250,-6250,3
219800,6250,-10750,3
284306,6250,-37500,6
264398,6250,-12500,2
211685,6250,5000,3
242428,6250,-6250,1
256242,6250,-50000,8
295048,6250,-18750,3
281702,6250,-10000,3
236697,6250,-29000,5
297463,6250,-11250,2
296697,6250,5000,4
206452,6250,-3750,1
239604,6250,-9750,6
